Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
167807,1072283032,G,15.7055,-8.4436,5.7771,11.9156,10.2308,0.9932,2.5415,-1,G,17.2921,-11.8000,5.6627,11.3003,13.0884,0.7814,2.6942,1,3.0307
167807,1072309928,G,8.8361,-3.1460,-6.0359,-5.6335,6.8066,-0.7541,-2.0513,1,G,10.6458,3.6433,8.5692,-5.1590,9.3116,-0.5290,1.1688,-1,16.0125
167807,1072308440,G,36.0352,7.9991,2.7745,-35.0263,8.4666,-2.1274,0.3339,1,G,6.0771,-5.5636,-0.5506,2.3798,5.5908,0.4138,-3.0430,-1,26.3966
167807,1072332016,G,19.8116,0.2901,9.5683,-17.3450,9.5727,-1.3562,1.5405,1,G,18.2859,-12.7608,-11.3292,-6.5708,17.0642,-0.3761,-2.4156,-1,26.8483
167807,1071435044,G,22.8143,-17.4889,12.5526,7.5533,21.5274,0.3440,2.5191,-1,T,19.6880,-16.0232,10.7861,3.8107,19.3154,0.1960,2.5491,1,3.0897
167807,1071806044,G,8.5830,7.4004,3.6061,2.4266,8.2322,0.2907,0.4534,-1,G,7.5716,2.8302,-6.6818,-2.1591,7.2565,-0.2933,-1.1701,1,12.1152
167807,1072026979,G,6.9664,4.8977,2.9005,4.0148,5.6922,0.6570,0.5347,1,G,7.7257,-5.3701,-1.5119,5.3434,5.5789,0.8512,-2.8672,-1,11.2308
167807,1072067971,G,7.5553,4.5501,6.0304,-0.0468,7.5544,-0.0062,0.9244,-1,G,10.6120,-3.1976,8.4427,5.5767,9.0279,0.5840,1.9328,1,9.3900
167807,1072302427,G,12.6780,3.6751,-6.1589,10.4538,7.1721,1.1710,-1.0328,1,G,7.2327,-4.0203,5.1444,-3.1101,6.5290,-0.4600,2.2342,-1,18.4758
167807,1072303243,G,49.8583,-13.1666,11.5433,-46.6823,17.5102,-1.7072,2.4218,1,G,26.1336,13.5268,-11.8871,-18.9388,18.0077,-0.9175,-0.7210,-1,38.3197
167807,1071391964,G,6.7683,3.8433,-5.5670,-0.1881,6.7649,-0.0278,-0.9666,1,G,5.9964,-4.0621,3.9752,1.9087,5.6835,0.3298,2.3670,-1,12.5457
167807,1071678172,G,12.6171,6.1664,2.8563,10.6300,6.7958,1.2299,0.4338,-1,G,8.5126,-4.4240,-5.4740,-4.7871,7.0382,-0.6363,-2.2505,1,20.0608
167807,1071901804,G,21.2377,9.0500,9.7802,-16.5371,13.3249,-1.0420,0.8242,-1,G,16.6297,6.5050,-7.9171,-13.0973,10.2467,-1.0651,-0.8830,1,17.6157
167807,1071982662,G,10.2603,-2.9366,-4.5447,8.7169,5.4109,1.2548,-2.1445,-1,G,6.3390,3.4804,4.5882,-2.6471,5.7589,-0.4448,0.9218,1,15.4401
167807,1072051379,G,53.8511,-14.3159,-43.0651,-28.9893,45.3822,-0.6018,-1.8917,1,G,27.1427,1.5216,26.9412,2.9278,26.9841,0.1083,1.5144,-1,73.8723
167807,1072169171,G,24.2677,9.1702,2.4347,22.3358,9.4879,1.5917,0.2595,1,G,15.0422,-8.0996,-3.4212,12.2044,8.7925,1.1310,-2.7419,-1,18.7115
167807,1072182835,G,8.1244,-5.6379,-5.8405,-0.3104,8.1178,-0.0382,-2.3386,-1,G,19.7764,-3.7894,15.9464,11.0657,16.3905,0.6322,1.8041,1,21.7204
167807,1072200171,G,18.4517,-4.0222,-7.9116,-16.1766,8.8753,-1.3614,-2.0411,1,G,9.7529,3.0883,6.1589,-6.9021,6.8898,-0.8826,1.1060,-1,16.0913
