Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173430,200660395,G,37.7342,-33.4436,-13.1991,11.4528,35.954,0.3134,-2.7657,-1,G,53.7545,45.3714,23.0871,-17.2616,50.9075,-0.3329,0.4707,1,89.98
173430,201294079,G,44.6683,-42.6795,-7.5395,-10.8105,43.3403,-0.2469,-2.9667,1,G,49.9631,45.075,15.1385,-15.3417,47.5492,-0.3173,0.324,-1,90.5962
173430,200467969,G,64.7303,23.5657,1.8042,-60.2611,23.6347,-1.6655,0.0764,-1,G,31.8607,-20.6854,-0.8211,24.2184,20.7017,0.9965,-3.1019,1,89.5627
173430,201835480,G,169.168,-46.4354,-7.7249,-162.487,47.0736,-1.9524,-2.9767,1,G,119.742,42.8809,1.9592,-111.784,42.9256,-1.6852,0.0457,-1,90.5489
173430,201531226,G,92.6357,-24.9092,-34.1957,-82.4108,42.3062,-1.4201,-2.2003,1,G,50.5545,18.3214,37.525,-28.4947,41.7588,-0.6382,1.1166,-1,90.2714
173430,200268219,G,92.8848,11.2376,-19.6716,90.0795,22.6551,2.0889,-1.0518,-1,G,42.6882,-35.5464,21.5619,9.6857,41.5747,0.2309,2.5963,1,88.5012
173430,200463193,G,90.0022,44.6605,24.756,-74.1145,51.0629,-1.1675,0.5061,1,G,65.423,-30.1352,-20.7278,-54.2437,36.5756,-1.1853,-2.5391,-1,86.3362
173430,200172225,G,61.979,-4.5227,-37.2613,-49.3206,37.5347,-1.087,-1.6916,-1,G,71.3128,1.9307,45.5309,-54.8518,45.5718,-1.0183,1.5284,1,82.7026
173430,200265429,G,82.9999,-40.4585,5.364,72.2724,40.8125,1.3362,3.0098,1,G,49.7361,39.4628,24.3907,17.929,46.392,0.3774,0.5536,-1,92.7157
173430,200692927,G,135.583,22.0078,24.0801,-131.6,32.622,-2.1029,0.8303,-1,G,95.8486,-52.4999,-10.7259,-79.4711,53.5843,-1.1853,-2.9401,1,88.8903
173430,201097705,G,83.3716,-8.7309,-32.6325,-76.2214,33.7803,-1.5528,-1.8322,1,G,63.27,13.5623,36.8763,-49.5911,39.2912,-1.0552,1.2184,-1,75.0573
173430,200445836,G,69.0396,11.0442,-34.1193,-58.9945,35.8623,-1.2726,-1.2577,-1,G,35.0953,-28.3572,15.7076,13.4466,32.4169,0.4037,2.6357,1,90.1706
173430,200821451,G,53.9454,-36.3188,-6.1354,39.4132,36.8334,0.93,-2.9742,1,G,48.7231,11.2285,-30.3462,-36.4274,32.3569,-0.9676,-1.2164,-1,92.5823
173430,202429619,G,53.206,32.4883,-25.3689,-33.6421,41.2198,-0.7452,-0.663,-1,G,38.0947,-19.4246,25.5829,20.4792,32.1217,0.6008,2.2202,1,89.3971
173430,203589960,G,50.4703,-35.975,6.4785,-34.8003,36.5537,-0.847,2.9634,1,G,41.2417,39.3894,-8.1468,9.109,40.223,0.2246,-0.204,-1,87.9579
173430,203551986,G,49.5154,-43.0176,-24.3437,2.9379,49.4281,0.0594,-2.6266,-1,G,43.236,38.6894,19.2958,0.3781,43.2342,0.0087,0.4626,1,92.4533
173430,201978938,G,127.594,45.5972,17.562,-117.867,48.8623,-1.6141,0.3676,1,G,52.1829,-31.538,-21.9767,-35.2905,38.4398,-0.8222,-2.533,-1,92.9799
173430,202943617,G,74.4896,2.4667,-31.9468,-67.2458,32.0419,-1.4869,-1.4937,-1,G,84.5496,27.6917,53.1967,-59.5978,59.9727,-0.8769,1.0908,1,88.561
173430,202179412,G,66.7961,39.0323,-34.7707,41.5835,52.2735,0.7291,-0.7277,-1,G,35.2832,-27.1773,20.5195,9.2323,34.0537,0.2679,2.4949,1,86.5696
173430,202205063,G,84.3177,40.304,11.9106,73.0972,42.027,1.3206,0.2873,1,G,99.0041,-42.2436,-11.898,88.7453,43.8872,1.4535,-2.867,-1,86.0823
173430,202434161,G,174.664,1.8808,-46.6233,168.316,46.6612,1.9948,-1.5305,1,G,51.0452,-36.4402,13.7445,32.9969,38.9461,0.7691,2.7809,-1,90.2353
173430,202522148,G,77.8569,-43.3715,24.5384,-59.8203,49.8319,-1.0163,2.6267,-1,G,65.1346,43.5571,-2.3778,-48.3697,43.622,-0.9563,-0.0545,1,90.8315
173430,202914831,G,42.2431,-32.3669,-27.1119,1.3411,42.2217,0.0318,-2.4443,1,G,53.1848,30.3331,28.1179,33.4349,41.3608,0.7392,0.7475,-1,88.8367
173430,202559704,G,34.5256,-20.704,-7.032,-26.719,21.8656,-1.03,-2.8142,1,G,49.6159,38.5253,26.0546,-17.2826,46.5085,-0.3635,0.5946,-1,66.8147
173430,203846739,G,39.0632,6.7671,-36.7955,-11.2345,37.4126,-0.2959,-1.3889,1,G,44.6391,-10.3434,37.3845,22.092,38.789,0.5425,1.8407,-1,82.9159
173430,204823899,G,168.065,6.6725,44.4727,-161.937,44.9705,-1.9931,1.4219,-1,G,97.2872,5.2699,-41.9536,-87.618,42.2833,-1.4754,-1.4458,1,89.3604
173430,204182055,G,107.638,51.3018,20.6235,92.3511,55.292,1.2856,0.3822,-1,G,43.8445,-31.9194,-4.2519,29.7558,32.2013,0.8266,-3.0092,1,85.9835
